id,original_price,sell_price,variations_types,stocks,size
100012,110,101,[],464,0
100223,240,228,[],98,0
100229,315,300,[],16,0
100554,170,169,[],576,0
100968,0,0,[],0,0
101030,698,601,[],20,0
101165,230,219,[],183,0
101263,100,95,[],37,0
101306,75,72,[],107,0
101316,74,71,[],50,0
101360,480,413,[],353,0
101401,105,100,[],22,0
101489,130,119,[],396,0
101584,360,310,[],150,0
101735,0,0,[],0,0
101823,0,0,[],0,0
102083,0,0,[],0,0
102093,72,66,[],692,0
102102,85,84,[],268,0
102131,229,209,[],45,0
102139,0,0,[],0,0
102145,375,342,[],14,0
102155,0,0,[],0,0
102159,0,0,[],0,0
102162,0,0,[],0,0
102533,0,0,[],0,0
102569,35,35,[],315,0
102607,75,72,[],236,0
102609,75,72,[],104,0
102610,75,72,[],276,0
102741,20,19,[],35,0
102745,20,19,[],338,0
102750,0,0,[],0,0
102753,20,19,[],418,0
102761,20,19,[],128,0
102764,0,0,[],0,0
102774,0,0,[],0,0
102830,420,399,[],190,0
102833,214,204,[],450,0
102871,570,542,[],767,0
102932,199,172,[],67,0
102997,120,114,[],119,0
103235,240,228,[],158,0
103246,0,0,[],0,0
103551,0,0,[],0,0
103558,250,228,[],14,0
103683,135,133,[],303,0
103707,800,728,[],32,0
103730,80,76,[],45,0
103909,0,0,[],0,0
104179,0,0,[],0,0
104269,0,0,[],0,0
104271,0,0,[],0,0
104297,0,0,[],0,0
104582,490,481,[],110,0
104607,220,216,[],75,0
104615,122,120,[],283,0
104617,470,461,[],17,0
104707,76,75,[],55,0
104708,75,74,[],43,0
104726,205,201,[],158,0
104759,75,74,[],98,0
104808,130,128,[],496,0
104821,94,93,[],175,0
104823,94,93,[],166,0
104833,105,103,[],43,0
104837,120,118,[],35,0
104839,120,118,[],12,0
104840,105,103,[],18,0
104860,52,51,[],1097,0
104862,7950,7791,[],59,0
104864,265,260,[],192,0
104956,99,98,[],109,0
104960,0,0,[],0,0
106103,120,114,[],270,0
106417,180,132,[],757,0
106599,0,0,[],0,0
106600,0,0,[],0,0
107800,0,0,[],0,0
107803,0,0,[],0,0
108249,0,0,[],0,0
112292,0,0,[],0,0
113710,149,142,[],296,0
113712,0,0,[],0,0
113817,0,0,[],0,0
118009,499,335,[],208,0
118156,410,374,[],35,0
118382,0,0,[],0,0
118412,395,360,[],29,0
118417,0,0,[],0,0
118419,0,0,[],0,0
118443,0,0,[],0,0
118518,450,428,[],107,0
118544,0,0,[],0,0
118572,785,770,[],19,0
118606,0,0,[],0,0
118774,0,0,[],0,0
118967,252,217,[],354,0
119665,240,228,[],647,0
119705,175,167,[],27,0
119709,155,152,[],107,0
119711,170,167,[],243,0
120018,300,258,[],38,0
122350,0,0,[],0,0
122620,190,187,[],99,0
122644,230,226,[],11,0
122650,0,0,[],0,0
123659,0,0,[],0,0
124656,295,269,[],83,0
124657,540,492,[],363,0
124870,165,162,[],12,0
124871,0,0,[],0,0
125546,535,509,[],1233,0
126153,855,813,[],24,0
126158,0,0,[],0,0
126903,0,0,[],0,0
126906,565,458,[],879,0
127362,155,152,[],57,0
128462,0,0,[],0,0
128596,500,495,[],0,0
130138,0,0,[],0,0
130307,0,0,[],0,0
133571,0,0,[],0,0
134006,1150,1047,[],83,0
134149,37,36,[],929,0
135463,125,119,[],41,0
137385,0,0,[],0,0
137575,495,486,[],478,0
137623,0,0,[],0,0
137936,800,760,[],251,0
138461,240,176,[],16,0
140448,0,0,[],0,0
140466,0,0,[],0,0
140873,0,0,[],0,0
140989,0,0,[],0,0
142156,270,257,[],41,0
144126,120,114,[],318,0
144395,240,228,[],907,0
145130,0,0,[],0,0
146378,0,0,[],0,0
146384,87,75,[],105,0
146514,330,301,[],101,0
146775,145,143,[],234,0
146778,0,0,[],0,0
147283,64,56,[],94,0
147491,190,181,[],137,0
147492,0,0,[],0,0
147493,0,0,[],0,0
147737,999,950,[],118,0
147738,999,950,[],89,0
147739,999,950,[],117,0
148392,0,0,[],0,0
148676,220,216,[],21,0
148681,368,361,[],339,0
148682,196,193,[],478,0
149353,0,0,[],0,0
149354,115,110,[],121,0
149829,70,64,[],20,0
150476,0,0,[],0,0
151059,0,0,[],0,0
152075,0,0,[],0,0
152329,488,420,[],123,0
152450,155,148,[],129,0
153122,0,0,[],0,0
154171,480,456,[],238,0
154902,240,219,[],39,0
156639,200,134,[],222,0
157375,250,238,[],899,0
157419,280,275,[],20,0
159705,340,323,[],14,0
159713,0,0,[],0,0
161622,0,0,[],0,0
161623,450,428,[],24,0
161826,0,0,[],0,0
161897,114,112,[],172,0
161898,0,0,[],0,0
161899,14,14,[],3634,0
163055,110,81,[],35,0
163056,170,138,[],70,0
163064,0,0,[],0,0
163575,49,49,[],14,0
163578,184,181,[],130,0
163582,144,142,[],221,0
163584,254,242,[],128,0
163810,0,0,[],0,0
163920,0,0,[],0,0
163921,0,0,[],0,0
165939,0,0,[],0,0
167738,0,0,[],0,0
167781,232,212,[],60,0
167782,0,0,[],0,0
167814,0,0,[],0,0
167976,875,525,[],84,0
168946,0,0,[],0,0
168949,0,0,[],0,0
168950,0,0,[],0,0
169000,0,0,[],0,0
169052,32,26,[],614,0
169053,0,0,[],0,0
169054,42,37,[],266,0
169055,35,31,[],1186,0
169166,0,0,[],0,0
169309,0,0,[],0,0
169409,0,0,[],0,0
169426,0,0,[],0,0
169899,0,0,[],0,0
170693,0,0,[],0,0
170695,0,0,[],0,0
170777,0,0,[],0,0
171651,0,0,[],0,0
172206,0,0,[],0,0
172260,0,0,[],0,0
172917,0,0,[],0,0
174253,75,72,[],78,0
174367,70,69,[],148,0
174549,0,0,[],0,0
174626,0,0,[],0,0
174631,165,151,[],101,0
174635,285,260,[],46,0
174636,0,0,[],0,0
175116,145,143,[],186,0
175118,0,0,[],0,0
175257,17,17,[],798,0
175374,0,0,[],0,0
176362,360,353,[],596,0
176364,275,270,[],14,0
177140,0,0,[],0,0
177144,0,0,[],0,0
177150,0,0,[],0,0
177155,0,0,[],0,0
177181,0,0,[],0,0
177259,0,0,[],0,0
177307,0,0,[],0,0
177319,0,0,[],0,0
179161,0,0,[],0,0
179650,0,0,[],0,0
179651,0,0,[],0,0
180199,0,0,[],0,0
180512,0,0,[],0,0
180537,120,114,[],229,0
180584,0,0,[],0,0
180961,480,437,[],304,0
180963,3000,2730,[],88,0
180981,0,0,[],0,0
180983,0,0,[],0,0
181118,120,114,[],65,0
181156,0,0,[],0,0
181594,0,0,[],0,0
181597,0,0,[],0,0
181598,200,196,[],88,0
182214,0,0,[],0,0
182398,0,0,[],0,0
182492,0,0,[],0,0
182665,0,0,[],0,0
182914,200,196,[],110,0
184353,795,756,[],29,0
184607,60,59,[],737,0
185568,180,164,[],304,0
186070,300,294,[],314,0
186077,252.5,248,[],225,0
186232,215,211,[],418,0
186815,0,0,[],0,0
188077,0,0,[],0,0
188078,0,0,[],0,0
188079,0,0,[],0,0
188080,0,0,[],0,0
188081,0,0,[],0,0
188082,0,0,[],0,0
189099,180,164,[],123,0
189100,200,182,[],116,0
189101,0,0,[],0,0
189103,200,182,[],196,0
189204,499,455,[],65,0
189221,360,342,[],102,0
189296,230,219,[],85,0
189311,345,328,[],227,0
189323,0,0,[],0,0
189326,0,0,[],0,0
189433,0,0,[],0,0
189439,0,0,[],0,0
189785,305,290,[],62,0
192941,179,176,[],13,0
196984,119,114,[],34,0
197348,0,0,[],0,0
197351,240,228,[],66,0
198934,600,570,[],141,0
199504,0,0,[],0,0
199522,0,0,[],0,0
199610,0,0,[],0,0
199785,0,0,[],0,0
200327,499,475,[],188,0
200952,283.5,270,[],136,0
201388,912,894,[],58,0
202239,740,674,[],109,0
202242,740,674,[],91,0
202243,645,587,[],53,0
202248,645,587,[],55,0
202277,0,0,[],0,0
204442,0,0,[],0,0
204569,0,0,[],0,0
204629,0,0,[],0,0
204728,0,0,[],0,0
204772,2000,1720,[],20,0
204912,0,0,[],0,0
205184,5760,5242,[],13,0
205215,0,0,[],0,0
205660,299,273,[],74,0
205704,0,0,[],0,0
205713,0,0,[],0,0
205716,0,0,[],0,0
205717,0,0,[],0,0
205718,0,0,[],0,0
205775,0,0,[],0,0
205854,2460,2411,[],98,0
205988,0,0,[],0,0
205990,0,0,[],0,0
205991,0,0,[],0,0
206046,1610,1176,[],20,0
206047,0,0,[],0,0
206123,0,0,[],0,0
206182,70,67,[],16,0
206407,60,57,[],840,0
206408,60,57,[],779,0
206416,0,0,[],0,0
206429,135,123,[],186,0
206433,140,128,[],255,0
206702,0,0,[],0,0
206776,0,0,[],0,0
206778,300,273,[],323,0
206779,200,182,[],92,0
206980,228,217,[],77,0
206981,228,217,[],352,0
206982,0,0,[],0,0
206988,0,0,[],0,0
207986,0,0,[],0,0
